Type,Rooms,Repair Subject,Subject Details,Issue,Priority
Suite,All Rooms,Air Conditioning / Heat,Adjust Vent,,STANDARD
Suite,All Rooms,Air Conditioning / Heat,Air Conditioning,AC not working - EMERGENCY,EMERGENCY
Suite,All Rooms,Air Conditioning / Heat,Air Conditioning,AC not working - EMERGENCY,EMERGENCY
Suite,All Rooms,Air Conditioning / Heat,Air Conditioning,AC not working - NON-emergency,STANDARD
Suite,All Rooms,Air Conditioning / Heat,Air Conditioning,AC not working - NON-emergency,STANDARD
Suite,All Rooms,Air Conditioning / Heat,Air Conditioning,Does not cool fan not running,EMERGENCY
Suite,All Rooms,Air Conditioning / Heat,Air Conditioning,Does not cool fan running,EMERGENCY
Suite,All Rooms,Air Conditioning / Heat,Air Conditioning,Thermostat,STANDARD
Suite,All Rooms,Air Conditioning / Heat,Heat,Fan blowing will not heat,EMERGENCY
Suite,All Rooms,Air Conditioning / Heat,Heat,Fan not blowing will not heat,EMERGENCY
Suite,All Rooms,Air Conditioning / Heat,Heat,Heat not working - EMERGENCY,EMERGENCY
Suite,All Rooms,Air Conditioning / Heat,Heat,Heat not working - EMERGENCY,EMERGENCY
Suite,All Rooms,Air Conditioning / Heat,Heat,Heat not working - NON-emergency,STANDARD
Suite,All Rooms,Air Conditioning / Heat,Heat,Heat not working - NON-emergency,STANDARD
Suite,All Rooms,Air Conditioning / Heat,Heat,Thermostat,STANDARD
Suite,All Rooms,Electrical,No Power,,EMERGENCY
Suite,All Rooms,Electrical,Smoke Detector,Chirps,STANDARD
Suite,All Rooms,Electrical,Smoke Detector,False alarms,STANDARD
Suite,All Rooms,Electrical,Smoke Detector,Loose from wall / Ceiling,STANDARD
Suite,All Rooms,Electrical,Smoke Detector,Not In List,STANDARD
Suite,All Rooms,Electrical,Smoke Detector,Replace battery,STANDARD
Suite,All Rooms,Electrical,Smoke Detector,Will not work,STANDARD
Suite,All Rooms,Flooring,Apartment Carpet,Clean carpet,STANDARD
Suite,All Rooms,Flooring,Apartment Carpet,Repair carpet,STANDARD
Suite,All Rooms,Flooring,Apartment Carpet,Stretch carpet,STANDARD
Suite,All Rooms,Flooring,Apartment Carpet,Wet Vac,STANDARD
Suite,All Rooms,Pest Control,Insects,Ants,STANDARD
Suite,All Rooms,Pest Control,Insects,Bees,STANDARD
Suite,All Rooms,Pest Control,Insects,Fleas,STANDARD
Suite,All Rooms,Pest Control,Insects,Not In List,STANDARD
Suite,All Rooms,Pest Control,Insects,Roaches,STANDARD
Suite,All Rooms,Pest Control,Insects,Scorpions,STANDARD
Suite,All Rooms,Pest Control,Insects,Silverfish,STANDARD
Suite,All Rooms,Pest Control,Insects,Spiders,STANDARD
Suite,All Rooms,Pest Control,Pests,Birds,STANDARD
Suite,All Rooms,Pest Control,Pests,Mice,STANDARD
Suite,All Rooms,Pest Control,Pests,Not In List,STANDARD
Suite,All Rooms,Pest Control,Pests,Rats,STANDARD
Suite,All Rooms,Plumbing,Fire Sprinkler Head,Beauty ring repair,STANDARD
Suite,All Rooms,Plumbing,Fire Sprinkler Head,Head leaks,EMERGENCY
Suite,All Rooms,Plumbing,Fire Sprinkler Head,Not In List,STANDARD
Suite,All Rooms,Plumbing,Fire Sprinkler Head,Paint on head,STANDARD
Suite,All Rooms,Plumbing,Low water pressure,,STANDARD
Suite,All Rooms,Plumbing,No Hot Water,,EMERGENCY
Suite,All Rooms,Plumbing,No Water,,EMERGENCY
Suite,All Rooms,Walls / Ceiling,Ceiling,Leak,EMERGENCY
Suite,All Rooms,Walls / Ceiling,Ceiling,Leaks from apartment above,EMERGENCY
Suite,All Rooms,Walls / Ceiling,Ceiling,Leaks when it rains,EMERGENCY
Suite,All Rooms,Walls / Ceiling,Ceiling,Not In List,STANDARD
Suite,All Rooms,Walls / Ceiling,Ceiling,Paint,STANDARD
Suite,All Rooms,Walls / Ceiling,Ceiling,Sheetrock repair,STANDARD
Suite,All Rooms,Walls / Ceiling,Ceiling,Stress crack repair,STANDARD
Suite,All Rooms,Walls / Ceiling,Walls,Leak,EMERGENCY
Suite,All Rooms,Walls / Ceiling,Walls,Leaks from apartment above,EMERGENCY
Suite,All Rooms,Walls / Ceiling,Walls,Leaks when it rains,EMERGENCY
Suite,All Rooms,Walls / Ceiling,Walls,Not In List,STANDARD
Suite,All Rooms,Walls / Ceiling,Walls,Paint,STANDARD
Suite,All Rooms,Walls / Ceiling,Walls,Sheetrock repair,STANDARD
Suite,All Rooms,Walls / Ceiling,Walls,Stress crack repair,STANDARD
Suite,Bathroom - Guest,Air Conditioning / Heat,Adjust Vent,,STANDARD
Suite,Bathroom - Guest,Air Conditioning / Heat,Air Conditioning,Area of apartment does not cool,STANDARD
Suite,Bathroom - Guest,Air Conditioning / Heat,Air Conditioning,Blowing cool air,STANDARD
Suite,Bathroom - Guest,Air Conditioning / Heat,Air Conditioning,Does not cool fan not running,STANDARD
Suite,Bathroom - Guest,Air Conditioning / Heat,Air Conditioning,Does not cool fan running,STANDARD
Suite,Bathroom - Guest,Air Conditioning / Heat,Air Conditioning,No air blowing from vents but unit is running,STANDARD
Suite,Bathroom - Guest,Air Conditioning / Heat,Air Conditioning,Not In List,STANDARD
Suite,Bathroom - Guest,Air Conditioning / Heat,Air Conditioning,Vent repair,STANDARD
Suite,Bathroom - Guest,Air Conditioning / Heat,Heat,Area of apartment will not heat,STANDARD
Suite,Bathroom - Guest,Air Conditioning / Heat,Heat,Fan blowing will not heat,STANDARD
Suite,Bathroom - Guest,Air Conditioning / Heat,Heat,Fan not blowing will not heat,STANDARD
Suite,Bathroom - Guest,Air Conditioning / Heat,Heat,Not In List,STANDARD
Suite,Bathroom - Guest,Air Conditioning / Heat,Heat,Vent repair,STANDARD
Suite,Bathroom - Guest,Bath Accessories,Hardware,Medicine Cabinet,STANDARD
Suite,Bathroom - Guest,Bath Accessories,Hardware,Mirror,STANDARD
Suite,Bathroom - Guest,Bath Accessories,Hardware,Not In List,STANDARD
Suite,Bathroom - Guest,Bath Accessories,Hardware,Shower rod,STANDARD
Suite,Bathroom - Guest,Bath Accessories,Hardware,Soap dish,STANDARD
Suite,Bathroom - Guest,Bath Accessories,Hardware,Toilet tissue holder,STANDARD
Suite,Bathroom - Guest,Bath Accessories,Hardware,Towel bar,STANDARD
Suite,Bathroom - Guest,Bath Accessories,Hardware,Towel ring,STANDARD
Suite,Bathroom - Guest,Blinds,Mini - Blind,Falling or has fallen,STANDARD
Suite,Bathroom - Guest,Blinds,Mini - Blind,Not In List,STANDARD
Suite,Bathroom - Guest,Blinds,Mini - Blind,Replace blind,STANDARD
Suite,Bathroom - Guest,Blinds,Mini - Blind,Tilt wand repair,STANDARD
Suite,Bathroom - Guest,Blinds,Mini - Blind,Will not lower,STANDARD
Suite,Bathroom - Guest,Blinds,Mini - Blind,Will not raise,STANDARD
Suite,Bathroom - Guest,Blinds,Mini - Blind,Will not tilt,STANDARD
Suite,Bathroom - Guest,Blinds,Vertical blind,Broken or missing slat,STANDARD
Suite,Bathroom - Guest,Blinds,Vertical blind,Falling or has fallen,STANDARD
Suite,Bathroom - Guest,Blinds,Vertical blind,Not In List,STANDARD
Suite,Bathroom - Guest,Blinds,Vertical blind,Replace blind,STANDARD
Suite,Bathroom - Guest,Blinds,Vertical blind,Will not close,STANDARD
Suite,Bathroom - Guest,Blinds,Vertical blind,Will not open,STANDARD
Suite,Bathroom - Guest,Blinds,Vertical blind,Will not tilt,STANDARD
Suite,Bathroom - Guest,Carpentry,Cabinets  Upper / Base,Bottom repair,STANDARD
Suite,Bathroom - Guest,Carpentry,Cabinets  Upper / Base,Door repair,STANDARD
Suite,Bathroom - Guest,Carpentry,Cabinets  Upper / Base,Drawer repair,STANDARD
Suite,Bathroom - Guest,Carpentry,Cabinets  Upper / Base,Handle repair,STANDARD
Suite,Bathroom - Guest,Carpentry,Cabinets  Upper / Base,Hinge repair,STANDARD
Suite,Bathroom - Guest,Carpentry,Cabinets  Upper / Base,Not In List,STANDARD
Suite,Bathroom - Guest,Carpentry,Cabinets  Upper / Base,Shelf repair,STANDARD
Suite,Bathroom - Guest,Carpentry,Counter Top / Vanity,Caulk needed,STANDARD
